time;open;high;low;close;Volume;Volume MA
2021-01-22T05:20:00Z;13.165;13.498;13.165;13.455;12595.275;8078.907650000028
2021-01-22T05:25:00Z;13.453;13.659;13.36;13.578;10868.09;8410.087850000029
2021-01-22T05:30:00Z;13.591;13.694;13.591;13.655;3320.317;8440.011100000029
2021-01-22T05:35:00Z;13.668;13.697;13.6;13.601;1966.454;8392.16705000003
2021-01-22T05:40:00Z;13.601;13.618;13.51;13.54;5155.58;8333.309300000028
2021-01-22T05:45:00Z;13.539;13.625;13.476;13.571;4703.186;8327.201200000029
2021-01-22T05:50:00Z;13.571;13.624;13.507;13.523;1981.779;6178.141550000028
2021-01-22T05:55:00Z;13.519;13.609;13.519;13.579;2938.601;5867.220950000026
2021-01-22T06:00:00Z;13.587;13.627;13.473;13.513;2480.53;5605.681450000027
2021-01-22T06:05:00Z;13.525;13.549;13.406;13.428;1450.065;5581.908500000027
2021-01-22T06:10:00Z;13.416;13.51;13.375;13.447;2941.39;5493.813650000027
2021-01-22T06:15:00Z;13.453;13.507;13.419;13.472;1960.418;5468.280400000027
2021-01-22T06:20:00Z;13.479;13.594;13.477;13.577;2939.851;5332.534600000026
2021-01-22T06:25:00Z;13.582;13.649;13.555;13.636;2287.006;5117.9962500000265
2021-01-22T06:30:00Z;13.636;13.662;13.539;13.543;3090.803;4931.939550000026
2021-01-22T06:35:00Z;13.543;13.605;13.456;13.571;2715.905;4231.907150000026
2021-01-22T06:40:00Z;13.586;13.662;13.526;13.564;2056.939;3999.983500000026
2021-01-22T06:45:00Z;13.56;13.625;13.461;13.461;2144.074;3866.0386500000254
2021-01-22T06:50:00Z;13.485;13.638;13.434;13.554;2778.233;3773.526200000025
2021-01-22T06:55:00Z;13.535;13.612;13.494;13.522;1646.216;3601.0356000000247
2021-01-22T07:00:00Z;13.522;13.778;13.522;13.756;17217.726;3832.1581500000248
2021-01-22T07:05:00Z;13.756;13.805;13.712;13.712;3111.272;3444.3172500000246
2021-01-22T07:10:00Z;13.706;13.909;13.687;13.831;6278.515;3592.227150000025
