;token_dai_balance;token_dai_weight;token_dai_denorm_weight;token_weth_balance;token_weth_weight;token_weth_denorm_weight;generated_fees;pool_shares;token_dai_price;token_weth_price;token_weth_spot_price;action_type;change_datetime;simulation;subset;run;substep;timestep
3033;10071781.718046196;20;10;69600.81255857514;80;40;0.0;99.99868647395374;1.003769999999999;557.905;0.002257954539103413200091633333;external_price_update;2020-12-10T17:20:00+00:00;0;0;1;1;1517
3034;10071781.718046196;20;10;69600.81255857514;80;40;0.0;99.99868647395374;1.003769999999999;557.905;0.002257954539103413200091633333;external_price_update;2020-12-10T17:20:00+00:00;0;0;1;2;1517
3035;10071781.718046196;20;10;69600.81255857514;80;40;0.0;99.99868647395374;1.003444;558.8499999999999;0.002257954539103413200091633333;external_price_update;2020-12-10T17:25:00+00:00;0;0;1;1;1518
3036;10071781.718046196;20;10;69600.81255857514;80;40;0.0;99.99868647395374;1.003444;558.8499999999999;0.002257954539103413200091633333;external_price_update;2020-12-10T17:25:00+00:00;0;0;1;2;1518
3037;10071698.101374526;20;10;69600.9931317179;80;40;0.0;99.99868647395374;1.003444;558.8499999999999;0.002257954539103413200091633333;swap;2020-12-10T17:25:50+00:00;0;0;1;1;1519
3038;10071698.101374526;20;10;69600.9931317179;80;40;0.0;99.99868647395374;1.003444;558.8499999999999;0.002257954539103413200091633333;swap;2020-12-10T17:25:50+00:00;0;0;1;2;1519
3039;10071497.326027138;20;10;69601.42672101753;80;40;0.0;99.99868647395374;1.003444;558.8499999999999;0.002257954539103413200091633333;swap;2020-12-10T17:29:49+00:00;0;0;1;1;1520
3040;10071497.326027138;20;10;69601.42672101753;80;40;0.0;99.99868647395374;1.003444;558.8499999999999;0.002257954539103413200091633333;swap;2020-12-10T17:29:49+00:00;0;0;1;2;1520
3041;10071497.326027138;20;10;69601.42672101753;80;40;0.0;99.99868647395374;1.003493;559.12;0.002257954539103413200091633333;external_price_update;2020-12-10T17:30:00+00:00;0;0;1;1;1521
3042;10071497.326027138;20;10;69601.42672101753;80;40;0.0;99.99868647395374;1.003493;559.12;0.002257954539103413200091633333;external_price_update;2020-12-10T17:30:00+00:00;0;0;1;2;1521
3043;10071497.326027138;20;10;69601.42672101753;80;40;0.0;99.99868647395374;1.003601;557.69;0.002257954539103413200091633333;external_price_update;2020-12-10T17:35:00+00:00;0;0;1;1;1522
3044;10071497.326027138;20;10;69601.42672101753;80;40;0.0;99.99868647395374;1.003601;557.69;0.002257954539103413200091633333;external_price_update;2020-12-10T17:35:00+00:00;0;0;1;2;1522
3045;10071497.326027138;20;10;69601.42672101753;80;40;0.0;99.99868647395374;1.003648;557.02;0.002257954539103413200091633333;external_price_update;2020-12-10T17:40:00+00:00;0;0;1;1;1523
3046;10071497.326027138;20;10;69601.42672101753;80;40;0.0;99.99868647395374;1.003648;557.02;0.002257954539103413200091633333;external_price_update;2020-12-10T17:40:00+00:00;0;0;1;2;1523
3047;10071497.326027138;20;10;69601.42672101753;80;40;0.0;99.99868647395374;1.003861;557.14;0.002257954539103413200091633333;external_price_update;2020-12-10T17:45:00+00:00;0;0;1;1;1524
3048;10071497.326027138;20;10;69601.42672101753;80;40;0.0;99.99868647395374;1.003861;557.14;0.002257954539103413200091633333;external_price_update;2020-12-10T17:45:00+00:00;0;0;1;2;1524
3049;10071497.326027138;20;10;69601.42672101753;80;40;0.0;99.99868647395374;1.0036355;557.745;0.002257954539103413200091633333;external_price_update;2020-12-10T17:50:00+00:00;0;0;1;1;1525
3050;10071497.326027138;20;10;69601.42672101753;80;40;0.0;99.99868647395374;1.0036355;557.745;0.002257954539103413200091633333;external_price_update;2020-12-10T17:50:00+00:00;0;0;1;2;1525
3051;10071497.326027138;20;10;69601.42672101753;80;40;0.0;99.99868647395374;1.004097499999999;558.505;0.002257954539103413200091633333;external_price_update;2020-12-10T17:55:00+00:00;0;0;1;1;1526
3052;10071497.326027138;20;10;69601.42672101753;80;40;0.0;99.99868647395374;1.004097499999999;558.505;0.002257954539103413200091633333;external_price_update;2020-12-10T17:55:00+00:00;0;0;1;2;1526
3053;10071497.326027138;20;10;69601.42672101753;80;40;0.0;99.99868647395374;1.0035705;559.275;0.002257954539103413200091633333;external_price_update;2020-12-10T18:00:00+00:00;0;0;1;1;1527
3054;10071497.326027138;20;10;69601.42672101753;80;40;0.0;99.99868647395374;1.0035705;559.275;0.002257954539103413200091633333;external_price_update;2020-12-10T18:00:00+00:00;0;0;1;2;1527
3055;10071497.326027138;20;10;69601.42672101753;80;40;0.0;99.99868647395374;1.003703;558.99;0.002257954539103413200091633333;external_price_update;2020-12-10T18:05:00+00:00;0;0;1;1;1528
3056;10071497.326027138;20;10;69601.42672101753;80;40;0.0;99.99868647395374;1.003703;558.99;0.002257954539103413200091633333;external_price_update;2020-12-10T18:05:00+00:00;0;0;1;2;1528
3057;10074497.326027138;20;10;69597.28089878944;80;40;0.0;99.99868647395374;1.003703;558.99;0.002257954539103413200091633333;swap;2020-12-10T18:08:47+00:00;0;0;1;1;1529
3058;10074497.326027138;20;10;69597.28089878944;80;40;0.0;99.99868647395374;1.003703;558.99;0.002257954539103413200091633333;swap;2020-12-10T18:08:47+00:00;0;0;1;2;1529
3059;10074497.326027138;20;10;69597.28089878944;80;40;0.0;99.99868647395374;1.003810999999999;558.47;0.002257954539103413200091633333;external_price_update;2020-12-10T18:10:00+00:00;0;0;1;1;1530
3060;10074497.326027138;20;10;69597.28089878944;80;40;0.0;99.99868647395374;1.003810999999999;558.47;0.002257954539103413200091633333;external_price_update;2020-12-10T18:10:00+00:00;0;0;1;2;1530
3061;10085650.77201597;20;10;69581.87923492819;80;40;0.0;99.99868647395374;1.003810999999999;558.47;0.002257954539103413200091633333;swap;2020-12-10T18:14:17+00:00;0;0;1;1;1531
3062;10085650.77201597;20;10;69581.87923492819;80;40;0.0;99.99868647395374;1.003810999999999;558.47;0.002257954539103413200091633333;swap;2020-12-10T18:14:17+00:00;0;0;1;2;1531
3063;10085650.77201597;20;10;69581.87923492819;80;40;0.0;99.99868647395374;1.0037465;558.4300000000001;0.002257954539103413200091633333;external_price_update;2020-12-10T18:15:00+00:00;0;0;1;1;1532
3064;10085650.77201597;20;10;69581.87923492819;80;40;0.0;99.99868647395374;1.0037465;558.4300000000001;0.002257954539103413200091633333;external_price_update;2020-12-10T18:15:00+00:00;0;0;1;2;1532
3065;10096826.434556862;20;10;69566.46737758236;80;40;0.0;99.99868647395374;1.0037465;558.4300000000001;0.002257954539103413200091633333;swap;2020-12-10T18:17:10+00:00;0;0;1;1;1533
3066;10096826.434556862;20;10;69566.46737758236;80;40;0.0;99.99868647395374;1.0037465;558.4300000000001;0.002257954539103413200091633333;swap;2020-12-10T18:17:10+00:00;0;0;1;2;1533
3067;10096826.434556862;20;10;69566.46737758236;80;40;0.0;99.99868647395374;1.003804;558.655;0.002257954539103413200091633333;external_price_update;2020-12-10T18:20:00+00:00;0;0;1;1;1534
3068;10096826.434556862;20;10;69566.46737758236;80;40;0.0;99.99868647395374;1.003804;558.655;0.002257954539103413200091633333;external_price_update;2020-12-10T18:20:00+00:00;0;0;1;2;1534
3069;10132299.255875263;20;10;69517.67198379313;80;40;0.0;99.99868647395374;1.003804;558.655;0.002257954539103413200091633333;swap;2020-12-10T18:24:18+00:00;0;0;1;1;1535
3070;10132299.255875263;20;10;69517.67198379313;80;40;0.0;99.99868647395374;1.003804;558.655;0.002257954539103413200091633333;swap;2020-12-10T18:24:18+00:00;0;0;1;2;1535
3071;10132299.255875263;20;10;69517.67198379313;80;40;0.0;99.99868647395374;1.0039535;560.0250000000001;0.002257954539103413200091633333;external_price_update;2020-12-10T18:25:00+00:00;0;0;1;1;1536
3072;10132299.255875263;20;10;69517.67198379313;80;40;0.0;99.99868647395374;1.0039535;560.0250000000001;0.002257954539103413200091633333;external_price_update;2020-12-10T18:25:00+00:00;0;0;1;2;1536
3073;10132299.255875263;20;10;69517.67198379313;80;40;0.0;99.99868647395374;1.00388;561.5350000000001;0.002257954539103413200091633333;external_price_update;2020-12-10T18:30:00+00:00;0;0;1;1;1537
3074;10132299.255875263;20;10;69517.67198379313;80;40;0.0;99.99868647395374;1.00388;561.5350000000001;0.002257954539103413200091633333;external_price_update;2020-12-10T18:30:00+00:00;0;0;1;2;1537
3075;10123058.057326103;20;10;69537.49698379313;80;40;0.0;99.99868647395374;1.00388;561.5350000000001;0.002257954539103413200091633333;swap;2020-12-10T18:34:57+00:00;0;0;1;1;1538
3076;10123058.057326103;20;10;69537.49698379313;80;40;0.0;99.99868647395374;1.00388;561.5350000000001;0.002257954539103413200091633333;swap;2020-12-10T18:34:57+00:00;0;0;1;2;1538
3077;10123058.057326103;20;10;69537.49698379313;80;40;0.0;99.99868647395374;1.0038515;561.74;0.002257954539103413200091633333;external_price_update;2020-12-10T18:35:00+00:00;0;0;1;1;1539
3078;10123058.057326103;20;10;69537.49698379313;80;40;0.0;99.99868647395374;1.0038515;561.74;0.002257954539103413200091633333;external_price_update;2020-12-10T18:35:00+00:00;0;0;1;2;1539
3079;10123058.057326103;20;10;69537.49698379313;80;40;0.0;99.99868647395374;1.0038745;561.6;0.002257954539103413200091633333;external_price_update;2020-12-10T18:40:00+00:00;0;0;1;1;1540
3080;10123058.057326103;20;10;69537.49698379313;80;40;0.0;99.99868647395374;1.0038745;561.6;0.002257954539103413200091633333;external_price_update;2020-12-10T18:40:00+00:00;0;0;1;2;1540
